N,P,K,temperature,humidity,ph,rainfall,soil_type,previous_crop,season,water_availability,irrigation,region,previous_yield,disease_level,fertilizer_usage,recommended_crop
55,47,42,29.2,67,6.7,1406,Red,Cowpea,Kharif,High,Rainfed,West India,2.8,Medium,Medium,Rice
61,64,37,31.2,50,6.9,339,Sandy,Brinjal,Kharif,Medium,Rainfed,West India,3.1,Medium,Medium,Sorghum
54,56,75,29.1,51,6.6,830,Clay,Groundnut,Kharif,Medium,Canal,Central India,2.0,Medium,Low,Maize
27,56,37,23.3,31,7.5,505,Sandy,Brinjal,Rabi,Low,Drip,North India,3.5,Medium,Low,Chickpea
67,50,63,24.6,53,6.3,649,Sandy,Cowpea,Rabi,Low,Rainfed,South India,3.6,Low,Low,Brinjal
65,76,92,26.2,42,7.2,654,Clay,Maize,Zaid,High,Drip,Central India,5.0,Medium,Medium,Chilli
18,40,34,21.1,52,6.3,555,Loamy,Groundnut,Rabi,Medium,Drip,East India,1.9,High,High,Chickpea
78,38,90,29.2,61,7.3,663,Black,Groundnut,Rabi,High,Canal,North-East India,5.2,Medium,Low,Maize
61,47,73,15.7,56,7.0,584,Alluvial,Chickpea,Rabi,Low,Canal,Central India,7.1,Low,Low,Wheat
23,62,35,32.4,68,7.2,666,Sandy,Onion,Kharif,Medium,Rainfed,Central India,1.0,Medium,Medium,Cowpea
26,52,29,23.2,32,6.6,315,Alluvial,Sorghum,Rabi,Low,Drip,North-East India,3.3,High,Low,Chickpea
26,65,40,19.7,45,6.9,358,Black,Tomato,Rabi,High,Rainfed,Central India,4.4,High,Medium,Chickpea
23,58,37,30.8,67,6.9,363,Alluvial,Cotton,Zaid,Medium,Drip,North-East India,2.5,Low,Medium,Green Gram
59,59,88,17.7,42,6.6,564,Red,Green Gram,Rabi,High,Canal,South India,2.1,High,Low,Wheat
86,57,61,31.5,54,7.0,680,Clay,Sunflower,Kharif,Medium,Sprinkler,North-East India,6.4,Medium,Low,Cotton
36,39,41,30.3,41,5.7,626,Red,Chickpea,Rabi,High,Rainfed,North India,1.1,Medium,Medium,Sorghum
56,47,37,32.9,51,5.8,324,Sandy,Sesame,Rabi,Low,Canal,South India,3.3,Medium,Low,Sorghum
53,47,38,31.8,69,6.2,419,Sandy,Sugarcane,Kharif,Low,Rainfed,South India,5.4,Low,Medium,Sesame
54,52,68,31.4,54,6.3,584,Alluvial,Black Gram,Kharif,Medium,Rainfed,North-East India,4.6,Medium,High,Sorghum
38,58,23,23.3,35,6.2,341,Loamy,Cotton,Rabi,Low,Drip,North-East India,2.1,Medium,Medium,Chickpea
42,52,27,21.6,31,7.1,548,Loamy,Cotton,Rabi,High,Rainfed,South India,1.0,Medium,High,Chickpea
54,52,59,26.4,54,6.5,759,Red,Rice,Rabi,Medium,Rainfed,West India,2.4,Low,High,Brinjal
35,44,32,20.9,41,7.1,584,Sandy,Onion,Rabi,Medium,Rainfed,North India,3.2,High,Low,Chickpea
42,90,71,28.4,47,6.6,689,Sandy,Wheat,Kharif,Medium,Drip,West India,4.2,Medium,Medium,Chilli
20,50,28,32.3,46,5.8,626,Red,Rice,Kharif,High,Rainfed,South India,3.1,Medium,Low,Cowpea
58,81,59,23.9,50,6.2,401,Alluvial,Wheat,Rabi,Medium,Sprinkler,East India,4.3,Medium,Low,Sunflower
22,50,41,29.5,64,6.8,441,Clay,Maize,Kharif,High,Canal,South India,3.4,Medium,Low,Green Gram
87,57,65,30.5,73,6.5,701,Red,Maize,Kharif,High,Rainfed,Central India,1.9,High,Medium,Cotton
30,55,32,29.6,70,6.4,699,Clay,Sunflower,Kharif,High,Canal,East India,4.6,Low,High,Green Gram
57,55,53,32.0,67,6.3,899,Loamy,Brinjal,Kharif,Medium,Sprinkler,Central India,7.2,Low,Low,Cotton
42,42,41,28.6,70,6.9,567,Clay,Cotton,Rabi,Medium,Drip,South India,7.1,Low,Low,Brinjal
41,68,61,31.2,61,6.1,543,Sandy,Black Gram,Kharif,High,Canal,Central India,2.7,Medium,Low,Sorghum
61,36,42,30.7,54,6.5,365,Black,Chickpea,Rabi,Low,Canal,North India,4.6,Medium,High,Sorghum
22,56,35,32.9,55,7.3,407,Loamy,Wheat,Kharif,Medium,Drip,North India,3.2,Medium,High,Cowpea
81,59,76,30.4,52,6.9,547,Sandy,Chilli,Kharif,Low,Rainfed,North India,5.5,Medium,Low,Cotton
31,69,26,30.4,66,6.5,687,Alluvial,Sugarcane,Kharif,High,Drip,Central India,4.7,High,High,Groundnut
48,71,36,26.1,46,7.4,441,Sandy,Chilli,Rabi,Medium,Rainfed,Central India,1.2,High,Low,Sunflower
